Zip Code,City,County,State
501,Holtsville,Suffolk County,NY
544,Holtsville,Suffolk County,NY
601,Adjuntas,Adjuntas Municipio,PR
602,Aguada,Aguada Municipio,PR
603,Aguadilla,Aguadilla Municipio,PR
606,Maricao,Maricao Municipio,PR
610,Anasco,Anasco Municipio,PR
612,Arecibo,Arecibo Municipio,PR
616,Bajadero,Arecibo Municipio,PR
617,Barceloneta,Barceloneta Municipio,PR
622,Boqueron,Cabo Rojo Municipio,PR
623,Cabo Rojo,Cabo Rojo Municipio,PR
624,Penuelas,Penuelas Municipio,PR
627,Camuy,Camuy Municipio,PR
637,Sabana Grande,Sabana Grande Municipio,PR
638,Ciales,Ciales Municipio,PR
641,Utuado,Utuado Municipio,PR
646,Dorado,Dorado Municipio,PR
647,Ensenada,Guanica Municipio,PR
650,Florida,Florida Municipio,PR
652,Garrochales,Arecibo Municipio,PR
653,Guanica,Guanica Municipio,PR
656,Guayanilla,Guayanilla Municipio,PR
659,Hatillo,Hatillo Municipio,PR
660,Hormigueros,Hormigueros Municipio,PR
662,Isabela,Isabela Municipio,PR
664,Jayuya,Jayuya Municipio,PR
667,Lajas,Lajas Municipio,PR
669,Lares,Lares Municipio,PR
670,Las Marias,Las Marias Municipio,PR
674,Manati,Manati Municipio,PR
676,Moca,Moca Municipio,PR
677,Rincon,Rincon Municipio,PR
678,Quebradillas,Quebradillas Municipio,PR
680,Mayaguez,Mayaguez Municipio,PR
682,Mayaguez,Mayaguez Municipio,PR
683,San German,San German Municipio,PR
685,San Sebastian,San Sebastian Municipio,PR
687,Morovis,Morovis Municipio,PR
688,Sabana Hoyos,Arecibo Municipio,PR
690,San Antonio,Aguadilla Municipio,PR
692,Vega Alta,Vega Alta Municipio,PR
693,Vega Baja,Vega Baja Municipio,PR
698,Yauco,Yauco Municipio,PR
703,Aguas Buenas,Aguas Buenas Municipio,PR
704,Aguirre,Salinas Municipio,PR
705,Aibonito,Aibonito Municipio,PR
707,Maunabo,Maunabo Municipio,PR
714,Arroyo,Arroyo Municipio,PR
715,Mercedita,Ponce Municipio,PR
716,Ponce,Ponce Municipio,PR
717,Ponce,Ponce Municipio,PR
718,Naguabo,Naguabo Municipio,PR
